"Lunch Participation of Eligible Students"
2/15/2026

Year,Division,School,Level,Percent
"2024 - 2025","Loudoun County Public Schools","Farmwell Station Middle",SCH,32.3
"2024 - 2025","Loudoun County Public Schools","Forest Grove Elementary",SCH,100
"2024 - 2025","Loudoun County Public Schools","Frederick Douglass Elementary",SCH,55.4
"2024 - 2025","Loudoun County Public Schools","Freedom High ",SCH,17.9
"2024 - 2025","Loudoun County Public Schools","Goshen Post Elementary",SCH,9.3
"2024 - 2025","Loudoun County Public Schools","Guilford Elementary",SCH,100
"2024 - 2025","Loudoun County Public Schools","Gum Spring Middle",SCH,20.4
"2024 - 2025","Loudoun County Public Schools","Hamilton Elementary",SCH,13.4
"2024 - 2025","Loudoun County Public Schools","Harmony Middle",SCH,12.2
"2024 - 2025","Loudoun County Public Schools","Harper Park Middle",SCH,34.5
"2024 - 2025","Loudoun County Public Schools","Henrietta Lacks Elementary ",SCH,8.6
"2024 - 2025","Loudoun County Public Schools","Heritage High",SCH,37.4
"2024 - 2025","Loudoun County Public Schools","Hillsboro Charter Academy",SCH,10.4
"2024 - 2025","Loudoun County Public Schools","Hillside Elementary",SCH,16.6
"2024 - 2025","Loudoun County Public Schools","Horizon Elementary",SCH,31.9
"2024 - 2025","Loudoun County Public Schools","Hovatter Elementary",SCH,3.7
"2024 - 2025","Loudoun County Public Schools","Hutchison Farm Elementary",SCH,30.5
"2024 - 2025","Loudoun County Public Schools","Independence High",SCH,10.7
"2024 - 2025","Loudoun County Public Schools","J. Lupton Simpson Middle",SCH,30.3
"2024 - 2025","Loudoun County Public Schools","J. Michael Lunsford Middle",SCH,18.4
"2024 - 2025","Loudoun County Public Schools","John Champe High",SCH,22.7
"2024 - 2025","Loudoun County Public Schools","John W. Tolbert Jr. Elementary ",SCH,26.7
"2024 - 2025","Loudoun County Public Schools","Kenneth W.Culbert Elementary",SCH,10
"2024 - 2025","Loudoun County Public Schools","Leesburg Elementary",SCH,47.7
"2024 - 2025","Loudoun County Public Schools","Legacy Elementary ",SCH,16.6
"2024 - 2025","Loudoun County Public Schools","Liberty Elementary",SCH,18.4
"2024 - 2025","Loudoun County Public Schools","Lightridge High",SCH,10.3
"2024 - 2025","Loudoun County Public Schools","Lincoln Elementary",SCH,8.8
"2024 - 2025","Loudoun County Public Schools","Little River Elementary",SCH,16.6
"2024 - 2025","Loudoun County Public Schools","Loudoun County High",SCH,26
"2024 - 2025","Loudoun County Public Schools","Loudoun Valley High",SCH,16.2
"2024 - 2025","Loudoun County Public Schools","Lovettsville Elementary",SCH,15.9
"2024 - 2025","Loudoun County Public Schools","Lowes Island Elementary",SCH,21.1
"2024 - 2025","Loudoun County Public Schools","Lucketts Elementary",SCH,31.5
"2024 - 2025","Loudoun County Public Schools","Madison's Trust Elementary",SCH,14.5
"2024 - 2025","Loudoun County Public Schools","Meadowland Elementary",SCH,85.1
"2024 - 2025","Loudoun County Public Schools","Mill Run Elementary",SCH,10.5
"2024 - 2025","Loudoun County Public Schools","Moorefield Station Elementary",SCH,23.7
"2024 - 2025","Loudoun County Public Schools","Mountain View Elementary",SCH,15.5
"2024 - 2025","Loudoun County Public Schools","Newton-Lee Elementary ",SCH,22.4
"2024 - 2025","Loudoun County Public Schools","Park View High",SCH,85
"2024 - 2025","Loudoun County Public Schools","Pinebrook Elementary",SCH,21.9
"2024 - 2025","Loudoun County Public Schools","Potomac Falls High",SCH,38.5
"2024 - 2025","Loudoun County Public Schools","Potowmack Elementary",SCH,84.9
"2024 - 2025","Loudoun County Public Schools","Richard and Mildred Loving Elementary",SCH,49.1
"2024 - 2025","Loudoun County Public Schools","River Bend Middle",SCH,47.1
"2024 - 2025","Loudoun County Public Schools","Riverside High",SCH,18.7
"2024 - 2025","Loudoun County Public Schools","Rock Ridge High",SCH,21.4
"2024 - 2025","Loudoun County Public Schools","Rolling Ridge Elementary",SCH,100
"2024 - 2025","Loudoun County Public Schools","Rosa Lee Carter Elementary",SCH,13.6
"2024 - 2025","Loudoun County Public Schools","Round Hill Elementary",SCH,10.2
"2024 - 2025","Loudoun County Public Schools","Sanders Corner Elementary",SCH,25.9
"2024 - 2025","Loudoun County Public Schools","Seldens Landing Elementary",SCH,15.8
"2024 - 2025","Loudoun County Public Schools","Seneca Ridge Middle",SCH,56.2
"2024 - 2025","Loudoun County Public Schools","Smart's Mill Middle ",SCH,38.1
"2024 - 2025","Loudoun County Public Schools","Sterling Elementary",SCH,100
"2024 - 2025","Loudoun County Public Schools","Sterling Middle",SCH,84.9
"2024 - 2025","Loudoun County Public Schools","Steuart W. Weller Elementary",SCH,38.8
"2024 - 2025","Loudoun County Public Schools","Stone Bridge High",SCH,20.3
"2024 - 2025","Loudoun County Public Schools","Stone Hill Middle",SCH,19.5
"2024 - 2025","Loudoun County Public Schools","Sugarland Elementary",SCH,100
"2024 - 2025","Loudoun County Public Schools","Sully Elementary",SCH,100
"2024 - 2025","Loudoun County Public Schools","Sycolin Creek Elementary",SCH,9.7
"2024 - 2025","Loudoun County Public Schools","Trailside Middle",SCH,21.7
"2024 - 2025","Loudoun County Public Schools","Tuscarora High",SCH,39.2
"2024 - 2025","Loudoun County Public Schools","Waterford Elementary",SCH,5.3
"2024 - 2025","Loudoun County Public Schools","Watson Mountain Middle",SCH,13.8
"2024 - 2025","Loudoun County Public Schools","Waxpool Elementary",SCH,16.7
"2024 - 2025","Loudoun County Public Schools","Willard Middle",SCH,8.8
"2024 - 2025","Loudoun County Public Schools","Woodgrove High",SCH,12.9
"2024 - 2025","Louisa County Public Schools","Jouett Elementary",SCH,77.8
"2024 - 2025","Louisa County Public Schools","Louisa County High",SCH,67.1
"2024 - 2025","Louisa County Public Schools","Louisa County Middle",SCH,67.1
"2024 - 2025","Louisa County Public Schools","Moss-Nuckols Elementary",SCH,67.1
"2024 - 2025","Louisa County Public Schools","Thomas Jefferson Elementary",SCH,88.8
"2024 - 2025","Louisa County Public Schools","Trevilians Elementary",SCH,79.3
"2024 - 2025","Lunenburg County Public Schools","Central High",SCH,93.3
"2024 - 2025","Lunenburg County Public Schools","Kenbridge Elementary",SCH,93.3
"2024 - 2025","Lunenburg County Public Schools","Lunenburg Middle",SCH,93.2
"2024 - 2025","Lunenburg County Public Schools","Victoria Elementary",SCH,93.3
"2024 - 2025","Lynchburg City Public Schools","Bedford Hills Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Dearington Elementary/Innovation ",SCH,100
"2024 - 2025","Lynchburg City Public Schools","E.C. Glass High ",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Heritage Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Heritage High",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Linkhorne Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Linkhorne Middle",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Paul Laurence Dunbar Middle for Innovation ",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Paul Munro Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Perrymont Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Robert S. Payne Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Sandusky Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Sandusky Middle",SCH,100
"2024 - 2025","Lynchburg City Public Schools","Sheffield Elementary",SCH,100
"2024 - 2025","Lynchburg City Public Schools","William M. Bass Elementary",SCH,100
"2024 - 2025","Madison County Public Schools","Madison County High",SCH,67.2
"2024 - 2025","Madison County Public Schools","Madison Primary",SCH,80.1
"2024 - 2025","Madison County Public Schools","Waverly Yowell Elementary",SCH,67.3
"2024 - 2025","Madison County Public Schools","William H. Wetsel Middle",SCH,67.3
"2024 - 2025","Manassas City Public Schools","Baldwin Elementary",SCH,78.5
"2024 - 2025","Manassas City Public Schools","Baldwin Intermediate",SCH,78.6
"2024 - 2025","Manassas City Public Schools","George Carr Round Elementary",SCH,78.6
"2024 - 2025","Manassas City Public Schools","Grace E. Metz Middle ",SCH,78.5
"2024 - 2025","Manassas City Public Schools","Jennie Dean Elementary",SCH,78.5
"2024 - 2025","Manassas City Public Schools","Mayfield Intermediate",SCH,78.5
"2024 - 2025","Manassas City Public Schools","Osbourn High",SCH,78.5
"2024 - 2025","Manassas City Public Schools","Richard C. Haydon Elementary",SCH,78.6
"2024 - 2025","Manassas City Public Schools","Weems Elementary",SCH,78.4
"2024 - 2025","Manassas Park City Public Schools","Cougar Elementary",SCH,81.5
"2024 - 2025","Manassas Park City Public Schools","Manassas Park Elementary",SCH,81.5
"2024 - 2025","Manassas Park City Public Schools","Manassas Park High",SCH,81.5
"2024 - 2025","Manassas Park City Public Schools","Manassas Park Middle",SCH,81.5
"2024 - 2025","Martinsville City Public Schools","Albert Harris Elementary",SCH,100
"2024 - 2025","Martinsville City Public Schools","Martinsville High",SCH,100
"2024 - 2025","Martinsville City Public Schools","Martinsville Middle",SCH,100
"2024 - 2025","Martinsville City Public Schools","Patrick Henry Elementary",SCH,100
"2024 - 2025","Mathews County Public Schools","Mathews Elementary",SCH,72.3
"2024 - 2025","Mathews County Public Schools","Mathews High",SCH,72.4
"2024 - 2025","Mathews County Public Schools","Thomas Hunter Middle ",SCH,72.2
"2024 - 2025","Mecklenburg County Public Schools","Chase City Elementary",SCH,94.5
"2024 - 2025","Mecklenburg County Public Schools","Clarksville Elementary",SCH,94.5
"2024 - 2025","Mecklenburg County Public Schools","LaCrosse Elementary ",SCH,94.5
"2024 - 2025","Mecklenburg County Public Schools","Mecklenburg County High",SCH,94.5
"2024 - 2025","Mecklenburg County Public Schools","Mecklenburg County Middle",SCH,94.6
"2024 - 2025","Mecklenburg County Public Schools","South Hill Elementary",SCH,94.6
"2024 - 2025","Middlesex County Public Schools","Middlesex Elementary",SCH,97.6
"2024 - 2025","Middlesex County Public Schools","Middlesex High",SCH,97.8
"2024 - 2025","Middlesex County Public Schools","St. Clare Walker Middle",SCH,97.7
"2024 - 2025","Montgomery County Public Schools","Auburn Elementary",SCH,47.2
"2024 - 2025","Montgomery County Public Schools","Auburn High",SCH,41.4
"2024 - 2025","Montgomery County Public Schools","Auburn Middle",SCH,43.7
"2024 - 2025","Montgomery County Public Schools","Belview Elementary",SCH,52.9
"2024 - 2025","Montgomery County Public Schools","Blacksburg High",SCH,24
"2024 - 2025","Montgomery County Public Schools","Blacksburg Middle",SCH,26.8
"2024 - 2025","Montgomery County Public Schools","Christiansburg Elementary",SCH,42
"2024 - 2025","Montgomery County Public Schools","Christiansburg High",SCH,37.8
"2024 - 2025","Montgomery County Public Schools","Christiansburg Middle",SCH,39.3
"2024 - 2025","Montgomery County Public Schools","Christiansburg Primary",SCH,48.6
"2024 - 2025","Montgomery County Public Schools","Eastern Montgomery Elementary",SCH,86.2
"2024 - 2025","Montgomery County Public Schools","Eastern Montgomery High",SCH,86.3
"2024 - 2025","Montgomery County Public Schools","Falling Branch Elementary",SCH,86.2
"2024 - 2025","Montgomery County Public Schools","Gilbert Linkous Elementary",SCH,27.3
"2024 - 2025","Montgomery County Public Schools","Harding Avenue Elementary",SCH,23.3
"2024 - 2025","Montgomery County Public Schools","Kipps Elementary",SCH,22.9
"2024 - 2025","Montgomery County Public Schools","Margaret Beeks Elementary",SCH,39.2
"2024 - 2025","Montgomery County Public Schools","Prices Fork Elementary",SCH,86.1
"2024 - 2025","Montgomery County Public Schools","Shawsville Middle",SCH,86.3
"2024 - 2025","Nelson County Public Schools","Nelson County High",SCH,84.7
"2024 - 2025","Nelson County Public Schools","Nelson Middle",SCH,84.8
"2024 - 2025","Nelson County Public Schools","Rockfish River Elementary",SCH,84.6
"2024 - 2025","Nelson County Public Schools","Tye River Elementary",SCH,84.6
"2024 - 2025","New Kent County Public Schools","George W. Watkins Elementary",SCH,27.1
"2024 - 2025","New Kent County Public Schools","New Kent Elementary ",SCH,32.3
"2024 - 2025","New Kent County Public Schools","New Kent High ",SCH,25.3
"2024 - 2025","New Kent County Public Schools","New Kent Middle ",SCH,28.3
"2024 - 2025","New Kent County Public Schools","Quinton Elementary",SCH,33.4
"2024 - 2025","Newport News City Public Schools","Achievable Dream Academy",SCH,100
"2024 - 2025","Newport News City Public Schools","Achievable Dream Middle/High ",SCH,100
"2024 - 2025","Newport News City Public Schools","B.C. Charles Elementary ",SCH,100
"2024 - 2025","Newport News City Public Schools","B.T. Washington Middle ",SCH,100
"2024 - 2025","Newport News City Public Schools","Carver Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Crittenden Middle",SCH,100
"2024 - 2025","Newport News City Public Schools","David A. Dutrow Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Deer Park Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Denbigh High",SCH,100
"2024 - 2025","Newport News City Public Schools","Discovery STEM Academy",SCH,100
"2024 - 2025","Newport News City Public Schools","Ella J. Fitzgerald Middle ",SCH,100
"2024 - 2025","Newport News City Public Schools","Ethel M. Gildersleeve Middle",SCH,100
"2024 - 2025","Newport News City Public Schools","General Stanford Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","George J. McIntosh Elementary ",SCH,100
"2024 - 2025","Newport News City Public Schools","Heritage High",SCH,100
"2024 - 2025","Newport News City Public Schools","Hidenwood Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Hilton Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Homer L. Hines Middle",SCH,100
"2024 - 2025","Newport News City Public Schools","Huntington Middle",SCH,100
"2024 - 2025","Newport News City Public Schools","John Marshall Early Childhood Center",SCH,100
"2024 - 2025","Newport News City Public Schools","Joseph H. Saunders Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Katherine Johnson Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Kiln Creek Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Knollwood Meadows Elementary ",SCH,100
"2024 - 2025","Newport News City Public Schools","L.F. Palmer Elementary ",SCH,100
"2024 - 2025","Newport News City Public Schools","Mary Passage Middle",SCH,100
"2024 - 2025","Newport News City Public Schools","Menchville High",SCH,100
"2024 - 2025","Newport News City Public Schools","Newsome Park Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Oliver C. Greenwood Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Richard T. Yates Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Richneck Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Riverside Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Sedgefield Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Stoney Run Elementary ",SCH,100
"2024 - 2025","Newport News City Public Schools","T. Ryland Sanford Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Warwick High",SCH,100
"2024 - 2025","Newport News City Public Schools","Willis A. Jenkins Elementary",SCH,100
"2024 - 2025","Newport News City Public Schools","Woodside High",SCH,100
"2024 - 2025","Norfolk City Public Schools","Academy for Discovery at Lakewood",SCH,100
"2024 - 2025","Norfolk City Public Schools","Azalea Gardens Middle",SCH,100
"2024 - 2025","Norfolk City Public Schools","Bay View Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Blair Middle",SCH,100
"2024 - 2025","Norfolk City Public Schools","Booker T Washington High",SCH,100
"2024 - 2025","Norfolk City Public Schools","Camp Allen Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Chesterfield Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Coleman Place Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Crossroads PreK-8 School",SCH,100
"2024 - 2025","Norfolk City Public Schools","Ghent K-8",SCH,100
"2024 - 2025","Norfolk City Public Schools","Granby Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Granby High",SCH,100
"2024 - 2025","Norfolk City Public Schools","Ingleside Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Jacox Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","James Monroe Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Lake Taylor",SCH,100
"2024 - 2025","Norfolk City Public Schools","Lake Taylor High ",SCH,100
"2024 - 2025","Norfolk City Public Schools","Larchmont Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Larrymore Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Lindenwood Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Little Creek Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Mary Calcott Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Matthew Fontaine Maury High",SCH,100
"2024 - 2025","Norfolk City Public Schools","Northside Middle",SCH,100
"2024 - 2025","Norfolk City Public Schools","Norview Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Norview High",SCH,100
"2024 - 2025","Norfolk City Public Schools","Norview Middle",SCH,100
"2024 - 2025","Norfolk City Public Schools","Ocean View Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Oceanair Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","P.B. Young Sr. Elementary ",SCH,100
"2024 - 2025","Norfolk City Public Schools","Richard Bowling Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Ruffner School",SCH,100
"2024 - 2025","Norfolk City Public Schools","Sewells Point Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Sherwood Forest Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Southside STEM Academy at Campostella ",SCH,100
"2024 - 2025","Norfolk City Public Schools","St. Helena Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Suburban Park Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Tanners Creek Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Tarrallton Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Walter Herron Taylor Elementary",SCH,100
"2024 - 2025","Norfolk City Public Schools","Willard Elementary",SCH,100
"2024 - 2025","Northampton County Public Schools","Kiptopeke Elementary",SCH,100
"2024 - 2025","Northampton County Public Schools","Northampton High",SCH,100
"2024 - 2025","Northampton County Public Schools","Northampton Middle",SCH,100
"2024 - 2025","Northampton County Public Schools","Occohannock Elementary",SCH,100
"2024 - 2025","Northumberland County Public Schools","Northumberland Elementary",SCH,95.6
"2024 - 2025","Northumberland County Public Schools","Northumberland High",SCH,95.5
"2024 - 2025","Northumberland County Public Schools","Northumberland Middle",SCH,95.7
"2024 - 2025","Norton City Public Schools","J.I. Burton High ",SCH,99.1
"2024 - 2025","Norton City Public Schools","Norton Elementary",SCH,99.2
"2024 - 2025","Nottoway County Public Schools","Blackstone Primary",SCH,100
"2024 - 2025","Nottoway County Public Schools","Crewe Primary",SCH,100
"2024 - 2025","Nottoway County Public Schools","Nottoway High",SCH,100
"2024 - 2025","Nottoway County Public Schools","Nottoway Intermediate",SCH,100
"2024 - 2025","Nottoway County Public Schools","Nottoway Middle",SCH,100
"2024 - 2025","Orange County Public Schools","Gordon-Barbour Elementary",SCH,70.3
"2024 - 2025","Orange County Public Schools","Lightfoot Elementary",SCH,70.4
"2024 - 2025","Orange County Public Schools","Locust Grove Elementary",SCH,70.4
"2024 - 2025","Orange County Public Schools","Locust Grove Middle",SCH,70.4
"2024 - 2025","Orange County Public Schools","Locust Grove Primary",SCH,70.4
"2024 - 2025","Orange County Public Schools","Orange County High ",SCH,70.4
"2024 - 2025","Orange County Public Schools","Orange Elementary",SCH,70.5
"2024 - 2025","Orange County Public Schools","Prospect Heights Middle",SCH,70.3
"2024 - 2025","Orange County Public Schools","Unionville Elementary",SCH,70.4
"2024 - 2025","Page County Public Schools","Luray Elementary",SCH,92.7
"2024 - 2025","Page County Public Schools","Luray High",SCH,79
"2024 - 2025","Page County Public Schools","Luray Middle",SCH,98.4
"2024 - 2025","Page County Public Schools","Page County High",SCH,74.6
"2024 - 2025","Page County Public Schools","Page County Middle",SCH,82.5
"2024 - 2025","Page County Public Schools","Shenandoah Elementary",SCH,91.2
"2024 - 2025","Page County Public Schools","Springfield Elementary",SCH,74.4
"2024 - 2025","Page County Public Schools","Stanley Elementary",SCH,91
"2024 - 2025","Patrick County Public Schools","Blue Ridge Elementary",SCH,98.2
"2024 - 2025","Patrick County Public Schools","Hardin Reynolds Memorial School",SCH,99
"2024 - 2025","Patrick County Public Schools","Meadows of Dan Elementary ",SCH,100
"2024 - 2025","Patrick County Public Schools","Patrick County High",SCH,79.4
"2024 - 2025","Patrick County Public Schools","Patrick Springs Primary",SCH,99.2
"2024 - 2025","Patrick County Public Schools","Stuart Elementary",SCH,90
"2024 - 2025","Patrick County Public Schools","Woolwine Elementary",SCH,77
"2024 - 2025","Petersburg City Public Schools","Cool Spring Elementary",SCH,100
"2024 - 2025","Petersburg City Public Schools","Lakemont Elementary",SCH,100
"2024 - 2025","Petersburg City Public Schools","Petersburg High",SCH,100
"2024 - 2025","Petersburg City Public Schools","Pleasants Lane Elementary",SCH,100
"2024 - 2025","Petersburg City Public Schools","Vernon Johns Middle",SCH,100
"2024 - 2025","Petersburg City Public Schools","Walnut Hill Elementary",SCH,100
"2024 - 2025","Pittsylvania County Public Schools","Brosville Elementary ",SCH,86.6
"2024 - 2025","Pittsylvania County Public Schools","Chatham Elementary",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Chatham High",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Chatham Middle",SCH,86.3
"2024 - 2025","Pittsylvania County Public Schools","Dan River High",SCH,86.5
"2024 - 2025","Pittsylvania County Public Schools","Dan River Middle",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Gretna Elementary",SCH,86.5
"2024 - 2025","Pittsylvania County Public Schools","Gretna High",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Gretna Middle",SCH,86.3
"2024 - 2025","Pittsylvania County Public Schools","John L. Hurt Elementary",SCH,86.5
"2024 - 2025","Pittsylvania County Public Schools","Kentuck Elementary",SCH,86.3
"2024 - 2025","Pittsylvania County Public Schools","Mount Airy Elementary",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Southside Elementary",SCH,86.5
"2024 - 2025","Pittsylvania County Public Schools","Stony Mill Elementary",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Tunstall High",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Tunstall Middle",SCH,86.3
"2024 - 2025","Pittsylvania County Public Schools","Twin Springs Elementary",SCH,86.4
"2024 - 2025","Pittsylvania County Public Schools","Union Hall Elementary",SCH,86.3
"2024 - 2025","Poquoson City Public Schools","Poquoson Elementary",SCH,25.7
"2024 - 2025","Poquoson City Public Schools","Poquoson High",SCH,20
"2024 - 2025","Poquoson City Public Schools","Poquoson Middle",SCH,20
"2024 - 2025","Poquoson City Public Schools","Poquoson Primary",SCH,27.9
"2024 - 2025","Portsmouth City Public Schools","Brighton Elementary ",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Churchland Academy Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Churchland Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Churchland High",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Churchland Middle",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Churchland Primary & Intermediate",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Cradock Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Cradock Middle",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Douglass Park Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Hodges Manor Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","I.C. Norcom High",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Lakeview Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Manor High",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Park View Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Simonsdale Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Victory Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Waterview Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","Westhaven Elementary",SCH,100
"2024 - 2025","Portsmouth City Public Schools","William E. Waters Middle",SCH,100
"2024 - 2025","Powhatan County Public Schools","Flat Rock Elementary",SCH,26
"2024 - 2025","Powhatan County Public Schools","Pocahontas Elementary",SCH,30.6
"2024 - 2025","Powhatan County Public Schools","Powhatan Elementary",SCH,27
"2024 - 2025","Powhatan County Public Schools","Powhatan High",SCH,22.1
"2024 - 2025","Powhatan County Public Schools","Powhatan Middle",SCH,27.4
"2024 - 2025","Prince Edward County Public Schools","Prince Edward County High",SCH,100
"2024 - 2025","Prince Edward County Public Schools","Prince Edward Elementary",SCH,100
"2024 - 2025","Prince Edward County Public Schools","Prince Edward Middle",SCH,100
"2024 - 2025","Prince George County Public Schools","David A. Harrison Elementary",SCH,63.5
"2024 - 2025","Prince George County Public Schools","J.E.J. Moore Middle ",SCH,57.2
"2024 - 2025","Prince George County Public Schools","L.L. Beazley Elementary",SCH,66
"2024 - 2025","Prince George County Public Schools","Middle Road Elementary",SCH,61.1
"2024 - 2025","Prince George County Public Schools","North Elementary",SCH,62
"2024 - 2025","Prince George County Public Schools","Prince George High",SCH,48.8
"2024 - 2025","Prince George County Public Schools","South Elementary",SCH,52.1
"2024 - 2025","Prince William County Public Schools","A. Henderson Elementary",SCH,33.5
"2024 - 2025","Prince William County Public Schools","Antietam Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Ashland Elementary",SCH,19.8
"2024 - 2025","Prince William County Public Schools","Battlefield High ",SCH,14.5
"2024 - 2025","Prince William County Public Schools","Bel Air Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Belmont Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Bennett Elementary",SCH,36
"2024 - 2025","Prince William County Public Schools","Brentsville District High",SCH,26
"2024 - 2025","Prince William County Public Schools","Bristow Run Elementary",SCH,27.9
"2024 - 2025","Prince William County Public Schools","Buckland Mills Elementary",SCH,29.5
"2024 - 2025","Prince William County Public Schools","Bull Run Middle",SCH,39.2
"2024 - 2025","Prince William County Public Schools","C.A. Sinclair Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","C.D. Hylton High",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Cedar Point Elementary",SCH,23
"2024 - 2025","Prince William County Public Schools","Charles J. Colgan Sr. High",SCH,28.8
"2024 - 2025","Prince William County Public Schools","Chris Yung Elementary",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Coles Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Covington-Harper Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Dale City Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Dumfries Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","E.H. Marsteller Middle",SCH,24.1
"2024 - 2025","Prince William County Public Schools","Elizabeth Vaughan Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Enterprise Elementary",SCH,69.4
"2024 - 2025","Prince William County Public Schools","Fannie W. Fitzgerald Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Featherstone Elementary",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Forest Park High",SCH,43.6
"2024 - 2025","Prince William County Public Schools","Fred M. Lynn Middle",SCH,69.2
"2024 - 2025","Prince William County Public Schools","Freedom High ",SCH,69.3
"2024 - 2025","Prince William County Public Schools","Gainesville High",SCH,28.4
"2024 - 2025","Prince William County Public Schools","Gainesville Middle",SCH,24.5
"2024 - 2025","Prince William County Public Schools","Gar-Field High",SCH,69.2
